Mes;dia;Provincia;TotalVales;TotalEntregados;TotalCancelados;TotalIncidencias;TotalDevoluciones
Mayo;30;Sevilla;2;1;1;0;0
Junio;9;Granada;2;2;0;0;0
Junio;10;Sevilla;3;0;0;3;0
Junio;14;Granada;1;1;0;0;0
Junio;17;Granada;1;1;0;0;0
Junio;18;Granada;2;2;0;0;0
Junio;20;Granada;1;1;0;0;0
Junio;20;Sevilla;2;1;1;0;0
Junio;21;Granada;1;1;0;0;0
Junio;21;Sevilla;3;0;3;0;0
Junio;22;Sevilla;12;2;6;4;0
Junio;22;Sevilla;2;1;1;0;0
Junio;23;Sevilla;1;1;0;0;0
Junio;23;Granada;1;1;0;0;0
Junio;24;Granada;3;3;0;0;0
Junio;24;Sevilla;2;2;0;0;0
Junio;27;Granada;1;1;0;0;0
Junio;27;Sevilla;3;3;0;0;0
Junio;28;Sevilla;4;3;1;0;0
Junio;28;Granada;1;1;0;0;0
Junio;29;Sevilla;2;2;0;0;0
Junio;29;Granada;1;1;0;0;0
Junio;30;Sevilla;2;2;0;0;0
Junio;30;Sevilla;1;1;0;0;0
Julio;1;Granada;1;0;1;0;0
Julio;1;Sevilla;2;2;0;0;0
Julio;4;Sevilla;1;1;0;0;0
Julio;5;Sevilla;1;1;0;0;0
Julio;5;Sevilla;3;3;0;0;0
Julio;5;Sevilla;2;1;0;1;0
Julio;5;Sevilla;2;1;0;1;0
Julio;6;Sevilla;1;1;0;0;0
Julio;6;Sevilla;2;1;0;1;0
Julio;6;Sevilla;1;1;0;0;0
Julio;6;Sevilla;1;1;0;0;0
Julio;7;Sevilla;3;3;0;0;0
Julio;8;Sevilla;1;1;0;0;0
Julio;8;Sevilla;1;1;0;0;0
Julio;11;Granada;1;1;0;0;0
Julio;11;Sevilla;2;2;0;0;0
Julio;12;Sevilla;1;1;0;0;0
Julio;13;Sevilla;1;1;0;0;0
Julio;13;Sevilla;1;1;0;0;0
Julio;13;Granada;4;4;0;0;0
Julio;14;Sevilla;1;1;0;0;0
Julio;14;Sevilla;1;1;0;0;0
Julio;16;Sevilla;1;0;0;1;0
Julio;16;Sevilla;1;1;0;0;0
Julio;18;Sevilla;1;0;1;0;0
Julio;19;Sevilla;6;6;0;0;0
Julio;19;Granada;1;1;0;0;0
Julio;20;Granada;1;1;0;0;0
Julio;21;Granada;2;2;0;0;0
Julio;21;Sevilla;1;1;0;0;0
Julio;22;Sevilla;1;1;0;0;0
Julio;23;Granada;1;1;0;0;0
Julio;25;Granada;2;2;0;0;0
Julio;25;Sevilla;1;1;0;0;0
Julio;26;Sevilla;1;1;0;0;0
Julio;26;Granada;1;1;0;0;0
Julio;27;Sevilla;1;1;0;0;0
Julio;27;Sevilla;1;1;0;0;0
Julio;27;Sevilla;1;1;0;0;0
Julio;27;Sevilla;2;2;0;0;0
Julio;27;Sevilla;2;2;0;0;0
Julio;28;Sevilla;2;2;0;0;0
Julio;28;Sevilla;1;1;0;0;0
Julio;28;Sevilla;1;1;0;0;0
Julio;28;Sevilla;3;3;0;0;0
