Mes;Día;Provincia;Establecimiento;NICA;Total Vales;Total Entregados;Total Cancelados;Total Incidencias;Total Devoluciones
Mayo;30;Sevilla;FARMACIA OJEDA CASARES;'020209;2;1;1;0;0
Junio;9;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;2;2;0;0;0
Junio;10;Sevilla;FARMACIA OJEDA CASARES;'020209;3;0;0;3;0
Junio;14;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;1;1;0;0;0
Junio;17;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;1;1;0;0;0
Junio;18;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;2;2;0;0;0
Junio;20;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;1;1;0;0;0
Junio;20;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;2;1;1;0;0
Junio;21;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;1;1;0;0;0
Junio;21;Sevilla;Farmacia Fernández Rojo CB;'020363;3;0;3;0;0
Junio;22;Sevilla;FARMACIA OJEDA CASARES;'020209;12;2;6;4;0
Junio;22;Sevilla;FARMACIA MARÍA PAZ TORNOS MAURY;'039967;2;1;1;0;0
Junio;23;Sevilla;FARMACIA MARÍA PAZ TORNOS MAURY;'039967;1;1;0;0;0
Junio;23;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;1;1;0;0;0
Junio;24;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;3;3;0;0;0
Junio;24;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;2;2;0;0;0
Junio;27;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;1;1;0;0;0
Junio;27;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;3;3;0;0;0
Junio;28;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;4;3;1;0;0
Junio;28;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;1;1;0;0;0
Junio;29;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;2;2;0;0;0
Junio;29;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;1;1;0;0;0
Junio;30;Sevilla;Farmacia Fernández Rojo CB;'020363;2;2;0;0;0
Junio;30;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;1;1;0;0;0
Julio;1;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;1;0;1;0;0
Julio;1;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;2;2;0;0;0
Julio;4;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;1;1;0;0;0
Julio;5;Sevilla;Farmacia Fernández Rojo CB;'020363;1;1;0;0;0
Julio;5;Sevilla;FARMACIA OJEDA CASARES;'020209;3;3;0;0;0
Julio;5;Sevilla;FARMACIA MARTÍN ALFARO;'020438;2;1;0;1;0
Julio;5;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;2;1;0;1;0
Julio;6;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;1;1;0;0;0
Julio;6;Sevilla;FARMACIA MARTÍN ALFARO;'020438;2;1;0;1;0
Julio;6;Sevilla;Farmacia Fernández Rojo CB;'020363;1;1;0;0;0
Julio;6;Sevilla;FARMACIA MARÍA PAZ TORNOS MAURY;'039967;1;1;0;0;0
Julio;7;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;3;3;0;0;0
Julio;8;Sevilla;Farmacia Fernández Rojo CB;'020363;1;1;0;0;0
Julio;8;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;1;1;0;0;0
Julio;11;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;1;1;0;0;0
Julio;11;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;2;2;0;0;0
Julio;12;Sevilla;Farmacia Fernández Rojo CB;'020363;1;1;0;0;0
Julio;13;Sevilla;Farmacia Fernández Rojo CB;'020363;1;1;0;0;0
Julio;13;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;1;1;0;0;0
Julio;13;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;4;4;0;0;0
Julio;14;Sevilla;Farmacia Fernández Rojo CB;'020363;1;1;0;0;0
Julio;14;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;1;1;0;0;0
Julio;16;Sevilla;FARMACIA MARÍA PAZ TORNOS MAURY;'039967;1;0;0;1;0
Julio;16;Sevilla;FARMACIA OJEDA CASARES;'020209;1;1;0;0;0
Julio;18;Sevilla;FARMACIA MARÍA PAZ TORNOS MAURY;'039967;1;0;1;0;0
Julio;19;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;6;6;0;0;0
Julio;19;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;1;1;0;0;0
Julio;20;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;1;1;0;0;0
Julio;21;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;2;2;0;0;0
Julio;21;Sevilla;FARMACIA MARTÍN ALFARO;'020438;1;1;0;0;0
Julio;22;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;1;1;0;0;0
Julio;23;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;1;1;0;0;0
Julio;25;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;2;2;0;0;0
Julio;25;Sevilla;FARMACIA MARÍA PAZ TORNOS MAURY;'039967;1;1;0;0;0
Julio;26;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;1;1;0;0;0
Julio;26;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;1;1;0;0;0
Julio;27;Sevilla;Farmacia Leopoldo González Sanz de Andino;'020480;1;1;0;0;0
Julio;27;Sevilla;FARMACIA MARTÍN ALFARO;'020438;1;1;0;0;0
Julio;27;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;1;1;0;0;0
Julio;27;Sevilla;FARMACIA MARÍA PAZ TORNOS MAURY;'039967;2;2;0;0;0
Julio;27;Sevilla;Farmacia Rosa Mª Rodrigo Calvo;'020397;2;2;0;0;0
Julio;28;Sevilla;Farmacia Leopoldo González Sanz de Andino;'020480;2;2;0;0;0
